# Customizaton for OBJECT PROPERTY;;;;;;;;;;;;
#;;;;;;;;;;;;
# --- BOMBARDIER TRANSPORTATION FUNCTIONAL DESIGN BASELINE ---;;;;;;;;;;;;
#;;;;;;;;;;;;
# Exchange IDs;;;;;;;;;;;;
#;;;;;;;;;;;;
#;DM1;OBJECTPROPERTY;DOMAINID;domain identifier;3;;;;;;;
#;OED11;OBJECTPROPERTY;DATATYPE;OTDB field data type;7;;;;;;;
#;OED13;OBJECTPROPERTY;SIZE;max Length of the entry;7;;;;;;;
#;OED14;OBJECTPROPERTY;ORDINAL;ordinal of the object entry;7;;;;;;;
#;OED15;OBJECTPROPERTY;ISNULLABLE;is nullable on the object entry level;9;;;;;;;
#;OED16;OBJECTPROPERTY;DEFAULTVALUE;default value of the object entry on the object level;3;;;;;;;
#;OED17;OBJECTPROPERTY;PROPERTIES;properties and property functions for the entry;2;;;;;;;
#;OED18;OBJECTPROPERTY;READONLY;set if the object entry is created internally and can not be changed;9;;;;;;;
#;OED19;OBJECTPROPERTY;ACTIVE;set if the object entry is activated;9;;;;;;;
#;OED21;OBJECTPROPERTY;XID;ID for XChange manager;3;;;;;;;
#;OED22;OBJECTPROPERTY;TITLE;title for column headers of the field;3;;;;;;;
#;OED23;OBJECTPROPERTY;DESC;Description of the field;10;;;;;;;
#;OED24;OBJECTPROPERTY;ALIAS;aliases ID for XChange manager;2;;;;;;;
#;OED31;OBJECTPROPERTY;VALIDATE;set if the object entry will be validated;9;;;;;;;
#;OED32;OBJECTPROPERTY;VALUES;list of possible values;2;;;;;;;
#;OED33;OBJECTPROPERTY;LPROPERTIES;list of lookup properties;2;;;;;;;
#;OED34;OBJECTPROPERTY;LOOKUP;lookup condition of possible values;2;;;;;;;
#;OED35;OBJECTPROPERTY;LOWER;lower range value;7;;;;;;;
#;OED36;OBJECTPROPERTY;UPPER;upper range value;7;;;;;;;
#;OED37;OBJECTPROPERTY;VPROPERTIES;list of validation properties;2;;;;;;;
#;OED38;OBJECTPROPERTY;VALIDREGEX;regex match for validation to be true;3;;;;;;;
#;OED41;OBJECTPROPERTY;RENDER;set if the object entry will be rendered to a string presentation;9;;;;;;;
#;OED42;OBJECTPROPERTY;RPROPERTIES;list of render properties;2;;;;;;;
#;OED43;OBJECTPROPERTY;RENDERREGEXMATCH;regex match for render to be true;3;;;;;;;
#;OED44;OBJECTPROPERTY;RENDERREGEXREPLACE;regex replace pattern for rendering;3;;;;;;;
#;OPR2;OBJECTPROPERTY;PROPERTYID;ID of the property;3;;;;;;;
#;OPR4;OBJECTPROPERTY;EXTPROPERTIES;internal properties of the object property;2;;;;;;;
#;OPS1;OBJECTPROPERTY;SETID;ID of the property set;3;;;;;;;
#;;;;;;;;isNullable;Ordinal;Lookup Properties;Validation;Default Value
OBJECTPROPERTY.OPR2;DM1;OPS1;OED21;OED22;OED11;OED13;OED32;OED15;OED14;OED33;OED37;OED16
0.0.2.0;SBB;FBLSBB;FBLSBB.0.0.2.0;Baseline;3;10;;False;10;USEVALUELIST(FBLCI);|NOTEMPTY|USELOOKUP|;0
0.0.3.0;SBB;FBLSBB;FBLSBB.0.0.3.0;Baseline;3;10;;False;20;USEVALUELIST(FBLCI);|NOTEMPTY|USELOOKUP|;0
0.1.0.0;SBB;FBLSBB;FBLSBB.0.1.0.0;Baseline ASV3080 IRON-BIRD1;3;10;;False;30;USEVALUELIST(FBLCI);|NOTEMPTY|USELOOKUP|;0
0.1.3.0;SBB;FBLSBB;FBLSBB.0.1.3.0;Baseline ASV3100 ER1;3;10;;False;40;USEVALUELIST(FBLCI);|NOTEMPTY|USELOOKUP|;0
0.1.6.0;SBB;FBLSBB;FBLSBB.0.1.6.0;Baseline ASV3200 ER2;3;10;;False;50;USEVALUELIST(FBLCI);|NOTEMPTY|USELOOKUP|;0
0.2.0.0;SBB;FBLSBB;FBLSBB.0.2.0.0;Baseline ASV3300 IRON-BIRD2;3;10;;False;60;USEVALUELIST(FBLCI);|NOTEMPTY|USELOOKUP|;0
0.2.3.0;SBB;FBLSBB;FBLSBB.0.2.3.0;Baseline ASV3400 ER3;3;10;;False;70;USEVALUELIST(FBLCI);|NOTEMPTY|USELOOKUP|;0
0.2.6.0;SBB;FBLSBB;FBLSBB.0.2.6.0;Baseline ASV3500 ER4;3;10;;False;80;USEVALUELIST(FBLCI);|NOTEMPTY|USELOOKUP|;0
0.3.0.0;SBB;FBLSBB;FBLSBB.0.3.0.0;Baseline ASV3600 COMMISIONING;3;10;;False;100;USEVALUELIST(FBLCI);|NOTEMPTY|USELOOKUP|;0
0.4.0.0;SBB;FBLSBB;FBLSBB.0.4.0.0;Baseline ASV3700 FEATURE COMPLETE;3;10;;False;110;USEVALUELIST(FBLCI);|NOTEMPTY|USELOOKUP|;0
0.5.0.0;SBB;FBLSBB;FBLSBB.0.5.0.0;Baseline ASVtbd TYPE TEST;3;10;;False;120;USEVALUELIST(FBLCI);|NOTEMPTY|USELOOKUP|;0
0.6.0.0;SBB;FBLSBB;FBLSBB.0.6.0.0;Baseline ASVTBD VALIDATION;3;10;;False;130;USEVALUELIST(FBLCI);|NOTEMPTY|USELOOKUP|;0
1.0.0.0;SBB;FBLSBB;FBLSBB.1.0.0.0;Baseline ASVTBD HOMOLOGATION;3;10;;False;140;USEVALUELIST(FBLCI);|NOTEMPTY|USELOOKUP|;0
0.1.0.0;DOSTO2010;FBLDOSTO2010;FBLDOSTO2010.0.1.0.0;Baseline ASV3080 IRON-BIRD1;3;10;;False;30;USEVALUELIST(FBLCI);|NOTEMPTY|USELOOKUP|;0
0.1.3.0;DOSTO2010;FBLDOSTO2010;FBLDOSTO2010.0.1.3.0;Baseline ASV3100 ER1;3;10;;False;40;USEVALUELIST(FBLCI);|NOTEMPTY|USELOOKUP|;0
0.1.6.0;DOSTO2010;FBLDOSTO2010;FBLDOSTO2010.0.1.6.0;Baseline ASV3200 ER2;3;10;;False;50;USEVALUELIST(FBLCI);|NOTEMPTY|USELOOKUP|;0
0.2.0.0;DOSTO2010;FBLDOSTO2010;FBLDOSTO2010.0.2.0.0;Baseline ASV3300 IRON-BIRD2;3;10;;False;60;USEVALUELIST(FBLCI);|NOTEMPTY|USELOOKUP|;0
0.2.3.0;DOSTO2010;FBLDOSTO2010;FBLDOSTO2010.0.2.3.0;Baseline ASV3400 ER3;3;10;;False;70;USEVALUELIST(FBLCI);|NOTEMPTY|USELOOKUP|;0
0.2.6.0;DOSTO2010;FBLDOSTO2010;FBLDOSTO2010.0.2.6.0;Baseline ASV3500 ER4;3;10;;False;80;USEVALUELIST(FBLCI);|NOTEMPTY|USELOOKUP|;0
0.3.0.0;DOSTO2010;FBLDOSTO2010;FBLDOSTO2010.0.3.0.0;Baseline ASV3600 COMMISIONING;3;10;;False;100;USEVALUELIST(FBLCI);|NOTEMPTY|USELOOKUP|;0
0.4.0.0;DOSTO2010;FBLDOSTO2010;FBLDOSTO2010.0.4.0.0;Baseline ASV3700 FEATURE COMPLETE;3;10;;False;110;USEVALUELIST(FBLCI);|NOTEMPTY|USELOOKUP|;0
0.5.0.0;DOSTO2010;FBLDOSTO2010;FBLDOSTO2010.0.5.0.0;Baseline ASVtbd TYPE TEST;3;10;;False;120;USEVALUELIST(FBLCI);|NOTEMPTY|USELOOKUP|;0
0.6.0.0;DOSTO2010;FBLDOSTO2010;FBLDOSTO2010.0.6.0.0;Baseline ASVTBD VALIDATION;3;10;;False;130;USEVALUELIST(FBLCI);|NOTEMPTY|USELOOKUP|;0
1.0.0.0;DOSTO2010;FBLDOSTO2010;FBLDOSTO2010.1.0.0.0;Baseline ASVTBD HOMOLOGATION;3;10;;False;140;USEVALUELIST(FBLCI);|NOTEMPTY|USELOOKUP|;0

